Children's Hospital,Payer,Discharges,Days,Year,Color
UF HEALTH SHANDS HOSPITAL,Other State/Local Government,53,278,2016,"rgba(55, 96, 146, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid Managed Care,79,274,2017,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other State/Local Government,69,270,2017,"rgba(74, 69, 42, 1.0)"
ST MARY'S MEDICAL CENTER,Self Pay,115,270,2020,"rgba(16, 37, 63, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Liability,90,266,2017,"rgba(64, 49, 82, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other,21,266,2019,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid FFS,42,266,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid FFS,30,265,2020,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,TriCare or Other Federal Government,39,262,2016,"rgba(16, 37, 63, 1.0)"
BROWARD HEALTH MEDICAL CENTER,TriCare or Other Federal Government,36,260,2016,"rgba(228, 108, 10, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicare FFS,32,259,2018,"rgba(147, 205, 221, 1.0)"
ST JOSEPHS HOSPITAL,Kidcare,75,259,2017,"rgba(85, 142, 213, 1.0)"
ST MARY'S MEDICAL CENTER,TriCare or Other Federal Government,37,259,2020,"rgba(16, 37, 63, 1.0)"
MEMORIAL REGIONAL HOSPITAL,TriCare or Other Federal Government,73,258,2018,"rgba(230, 185, 184, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Liability,79,257,2016,"rgba(64, 49, 82, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid Managed Care,116,243,2018,"rgba(185, 205, 229, 1.0)"
ADVENTHEALTH ORLANDO,Medicare FFS,45,241,2020,"rgba(195, 214, 155, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Self Pay,102,241,2019,"rgba(152, 72, 7, 1.0)"
UF HEALTH SHANDS HOSPITAL,Kidcare,83,239,2016,"rgba(55, 96, 146, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Self Pay,68,237,2018,"rgba(147, 205, 221, 1.0)"
ST JOSEPHS HOSPITAL,Kidcare,80,237,2018,"rgba(85, 142, 213, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid Managed Care,102,235,2016,"rgba(185, 205, 229, 1.0)"
JACKSON MEMORIAL HOSPITAL,TriCare or Other Federal Government,26,234,2020,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid FFS,41,230,2016,"rgba(85, 142, 213, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other State/Local Government,54,225,2016,"rgba(74, 69, 42, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Self Pay,82,222,2019,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Kidcare,62,221,2018,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Kidcare,73,220,2019,"rgba(79, 98, 40, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other State/Local Government,51,218,2018,"rgba(55, 96, 146, 1.0)"
ST MARY'S MEDICAL CENTER,TriCare or Other Federal Government,42,216,2018,"rgba(16, 37, 63, 1.0)"
ADVENTHEALTH ORLANDO,Other State/Local Government,45,215,2019,"rgba(195, 214, 155, 1.0)"
ST MARY'S MEDICAL CENTER,Other State/Local Government,40,215,2016,"rgba(16, 37, 63, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare FFS,41,214,2017,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other,34,213,2017,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Health Insurance,84,213,2018,"rgba(33, 89, 104, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid FFS,42,213,2018,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Kidcare,41,209,2016,"rgba(89, 89, 89, 1.0)"
ST JOSEPHS HOSPITAL,Other State/Local Government,36,208,2017,"rgba(85, 142, 213, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid Managed Care,106,207,2017,"rgba(185, 205, 229, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Liability,25,206,2018,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,TriCare or Other Federal Government,31,205,2019,"rgba(74, 69, 42, 1.0)"
ST JOSEPHS HOSPITAL,Other State/Local Government,45,204,2018,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other State/Local Government,35,204,2016,"rgba(85, 142, 213, 1.0)"
JACKSON MEMORIAL HOSPITAL,Non-Payment,32,203,2019,"rgba(74, 69, 42, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Self Pay,82,202,2020,"rgba(152, 72, 7, 1.0)"
LEE MEMORIAL HOSPITAL,Commercial Health Insurance,70,202,2020,"rgba(33, 89, 104, 1.0)"
TAMPA GENERAL HOSPITAL,Other State/Local Government,13,199,2018,"rgba(89, 89, 89, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Commercial Liability,77,198,2020,"rgba(64, 49, 82, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicare FFS,33,198,2017,"rgba(147, 205, 221, 1.0)"
UF HEALTH SHANDS HOSPITAL,Kidcare,52,197,2020,"rgba(55, 96, 146, 1.0)"
JACKSON MEMORIAL HOSPITAL,TriCare or Other Federal Government,48,196,2016,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Self Pay,89,194,2018,"rgba(204, 193, 218, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare Managed Care,3,194,2020,"rgba(230, 185, 184, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare FFS,27,192,2017,"rgba(55, 96, 146, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other State/Local Government,37,188,2018,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicaid FFS,42,186,2017,"rgba(85, 142, 213, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Self Pay,67,185,2020,"rgba(64, 49, 82, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Self Pay,47,184,2018,"rgba(99, 37, 35, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Self Pay,42,181,2018,"rgba(55, 96, 146, 1.0)"
JACKSON MEMORIAL HOSPITAL,Non-Payment,41,174,2017,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Self Pay,66,171,2017,"rgba(204, 193, 218, 1.0)"
TAMPA GENERAL HOSPITAL,Veterans Affairs,32,171,2018,"rgba(89, 89, 89, 1.0)"
JACKSON MEMORIAL HOSPITAL,Non-Payment,35,169,2016,"rgba(74, 69, 42, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicare FFS,20,165,2019,"rgba(147, 205, 221, 1.0)"
ST MARY'S MEDICAL CENTER,Other State/Local Government,38,165,2020,"rgba(16, 37, 63, 1.0)"
ST JOSEPHS HOSPITAL,Kidcare,45,164,2016,"rgba(85, 142, 213, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Kidcare,34,162,2018,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Self Pay,22,162,2020,"rgba(85, 142, 213, 1.0)"
LEE MEMORIAL HOSPITAL,Self Pay,18,161,2016,"rgba(33, 89, 104, 1.0)"
ST MARY'S MEDICAL CENTER,Veterans Affairs,4,161,2018,"rgba(16, 37, 63, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Self Pay,35,160,2019,"rgba(85, 142, 213, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Commercial Health Insurance,67,159,2018,"rgba(185, 205, 229, 1.0)"
ADVENTHEALTH ORLANDO,Medicare Managed Care,30,155,2019,"rgba(195, 214, 155, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Liability,30,153,2017,"rgba(74, 69, 42, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Non-Payment,8,152,2020,"rgba(64, 49, 82, 1.0)"
TAMPA GENERAL HOSPITAL,Kidcare,30,152,2019,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other State/Local Government,41,152,2019,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Medicare FFS,17,147,2017,"rgba(195, 214, 155, 1.0)"
JACKSON MEMORIAL HOSPITAL,Kidcare,26,147,2018,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Self Pay,32,147,2020,"rgba(55, 96, 146, 1.0)"
TAMPA GENERAL HOSPITAL,Other State/Local Government,29,145,2020,"rgba(89, 89, 89, 1.0)"
ADVENTHEALTH ORLANDO,Other State/Local Government,37,144,2020,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare FFS,21,144,2019,"rgba(89, 89, 89, 1.0)"
ADVENTHEALTH ORLANDO,Medicare FFS,23,143,2016,"rgba(195, 214, 155, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Kidcare,37,141,2016,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Self Pay,37,141,2016,"rgba(85, 142, 213, 1.0)"
LEE MEMORIAL HOSPITAL,Non-Payment,28,140,2019,"rgba(33, 89, 104, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare FFS,18,140,2019,"rgba(230, 185, 184, 1.0)"
ST MARY'S MEDICAL CENTER,Other State/Local Government,45,140,2017,"rgba(16, 37, 63, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Self Pay,40,139,2019,"rgba(99, 37, 35, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid FFS,39,138,2016,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Commercial Liability,23,136,2019,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other State/Local Government,41,136,2019,"rgba(74, 69, 42, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Medicare FFS,17,135,2020,"rgba(147, 205, 221, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare FFS,21,134,2018,"rgba(89, 89, 89, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Commercial Liability,24,133,2019,"rgba(228, 108, 10, 1.0)"
UF HEALTH SHANDS HOSPITAL,Veterans Affairs,17,129,2016,"rgba(55, 96, 146, 1.0)"
JACKSON MEMORIAL HOSPITAL,Workers' Compensation,3,128,2018,"rgba(74, 69, 42, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare FFS,14,125,2018,"rgba(230, 185, 184, 1.0)"
ADVENTHEALTH ORLANDO,Veterans Affairs,18,124,2017,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL,Other State/Local Government,38,124,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Self Pay,34,124,2017,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS HOSPITAL,Other,4,124,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Non-Payment,30,123,2019,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL,Other State/Local Government,26,123,2020,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Medicare FFS,24,119,2020,"rgba(89, 89, 89, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Veterans Affairs,20,118,2020,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,TriCare or Other Federal Government,22,118,2018,"rgba(85, 142, 213, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Commercial Health Insurance,52,116,2016,"rgba(185, 205, 229, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Self Pay,44,116,2017,"rgba(185, 205, 229, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Commercial Health Insurance,55,115,2017,"rgba(185, 205, 229, 1.0)"
ST MARY'S MEDICAL CENTER,Other State/Local Government,38,114,2019,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare FFS,18,114,2020,"rgba(55, 96, 146, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Other,12,113,2016,"rgba(204, 193, 218, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid FFS,27,112,2018,"rgba(33, 89, 104, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Self Pay,26,111,2018,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,TriCare or Other Federal Government,30,109,2018,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,TriCare or Other Federal Government,25,108,2017,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,TriCare or Other Federal Government,24,108,2019,"rgba(228, 108, 10, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Kidcare,32,107,2017,"rgba(228, 108, 10, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare FFS,27,107,2016,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Non-Payment,24,106,2016,"rgba(64, 49, 82, 1.0)"
UF HEALTH SHANDS HOSPITAL,Medicare FFS,19,106,2019,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Non-Payment,16,105,2018,"rgba(64, 49, 82, 1.0)"
ST JOSEPHS HOSPITAL,Other State/Local Government,28,104,2016,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,TriCare or Other Federal Government,21,104,2016,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,TriCare or Other Federal Government,26,104,2019,"rgba(55, 96, 146, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Self Pay,33,103,2016,"rgba(185, 205, 229, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Self Pay,47,101,2016,"rgba(204, 193, 218, 1.0)"
BROWARD HEALTH MEDICAL CENTER,TriCare or Other Federal Government,21,101,2018,"rgba(228, 108, 10, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,TriCare or Other Federal Government,22,99,2016,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other,44,97,2020,"rgba(79, 98, 40, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Kidcare,20,97,2016,"rgba(85, 142, 213, 1.0)"
LEE MEMORIAL HOSPITAL,Medicaid FFS,24,96,2017,"rgba(33, 89, 104, 1.0)"
TAMPA GENERAL HOSPITAL,Other,37,96,2020,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Kidcare,12,96,2020,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Other State/Local Government,5,95,2019,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other State/Local Government,24,95,2020,"rgba(74, 69, 42, 1.0)"
TAMPA GENERAL HOSPITAL,Kidcare,22,95,2020,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Other State/Local Government,18,90,2017,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Self Pay,31,90,2019,"rgba(55, 96, 146, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other State/Local Government,16,89,2018,"rgba(147, 205, 221, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Self Pay,37,88,2018,"rgba(185, 205, 229, 1.0)"
TAMPA GENERAL HOSPITAL,Other State/Local Government,19,87,2016,"rgba(89, 89, 89, 1.0)"
TAMPA GENERAL HOSPITAL,Veterans Affairs,21,87,2019,"rgba(89, 89, 89, 1.0)"
ADVENTHEALTH ORLANDO,Non-Payment,1,86,2018,"rgba(195, 214, 155, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Self Pay,31,85,2017,"rgba(99, 37, 35, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Medicaid Managed Care,43,85,2019,"rgba(185, 205, 229, 1.0)"
UF HEALTH SHANDS HOSPITAL,Veterans Affairs,14,85,2018,"rgba(55, 96, 146, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare FFS,14,84,2016,"rgba(152, 72, 7, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,TriCare or Other Federal Government,23,84,2017,"rgba(55, 96, 146, 1.0)"
LEE MEMORIAL HOSPITAL,Self Pay,30,81,2018,"rgba(33, 89, 104, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Kidcare,18,81,2017,"rgba(85, 142, 213, 1.0)"
TAMPA GENERAL HOSPITAL,Workers' Compensation,12,81,2020,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Kidcare,27,80,2019,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Veterans Affairs,14,79,2019,"rgba(79, 98, 40, 1.0)"
ST MARY'S MEDICAL CENTER,TriCare or Other Federal Government,33,79,2017,"rgba(16, 37, 63, 1.0)"
BAPTIST HOSPITAL OF MIAMI,Non-Payment,13,78,2017,"rgba(64, 49, 82, 1.0)"
LEE MEMORIAL HOSPITAL,Non-Payment,25,77,2018,"rgba(33, 89, 104, 1.0)"
JACKSON MEMORIAL HOSPITAL,Other,12,76,2020,"rgba(74, 69, 42, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Veterans Affairs,28,74,2019,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Other State/Local Government,12,73,2019,"rgba(85, 142, 213, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare FFS,13,72,2016,"rgba(79, 98, 40, 1.0)"
UF HEALTH SHANDS HOSPITAL,Workers' Compensation,8,72,2018,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Kidcare,20,72,2018,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Self Pay,23,72,2017,"rgba(55, 96, 146, 1.0)"
ADVENTHEALTH ORLANDO,Workers' Compensation,13,71,2016,"rgba(195, 214, 155, 1.0)"
LEE MEMORIAL HOSPITAL,Non-Payment,10,71,2016,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Self Pay,21,71,2020,"rgba(99, 37, 35, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare FFS,10,71,2016,"rgba(16, 37, 63, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Self Pay,28,70,2016,"rgba(99, 37, 35, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare FFS,13,67,2017,"rgba(152, 72, 7, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Commercial Health Insurance,33,67,2019,"rgba(185, 205, 229, 1.0)"
ADVENTHEALTH ORLANDO,Veterans Affairs,18,62,2018,"rgba(195, 214, 155, 1.0)"
TAMPA GENERAL HOSPITAL,Other,12,62,2019,"rgba(89, 89, 89, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other,20,61,2019,"rgba(228, 108, 10, 1.0)"
ST JOSEPHS HOSPITAL,Medicare FFS,3,61,2017,"rgba(85, 142, 213, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other,15,60,2018,"rgba(228, 108, 10, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicare FFS,17,60,2016,"rgba(99, 37, 35, 1.0)"
BROWARD HEALTH MEDICAL CENTER,TriCare or Other Federal Government,22,59,2020,"rgba(228, 108, 10, 1.0)"
LEE MEMORIAL HOSPITAL,Non-Payment,18,59,2020,"rgba(33, 89, 104, 1.0)"
TAMPA GENERAL HOSPITAL,Other State/Local Government,18,59,2019,"rgba(89, 89, 89, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare Managed Care,6,58,2017,"rgba(230, 185, 184, 1.0)"
JACKSON MEMORIAL HOSPITAL,Kidcare,21,57,2019,"rgba(74, 69, 42, 1.0)"
LEE MEMORIAL HOSPITAL,Other State/Local Government,5,57,2020,"rgba(33, 89, 104, 1.0)"
LEE MEMORIAL HOSPITAL,Workers' Compensation,6,56,2019,"rgba(33, 89, 104, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,TriCare or Other Federal Government,16,56,2017,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Kidcare,15,55,2018,"rgba(85, 142, 213, 1.0)"
LEE MEMORIAL HOSPITAL,Self Pay,26,54,2019,"rgba(33, 89, 104, 1.0)"
ADVENTHEALTH ORLANDO,Medicare Managed Care,10,53,2018,"rgba(195, 214, 155, 1.0)"
JACKSON MEMORIAL HOSPITAL,Kidcare,17,53,2020,"rgba(74, 69, 42, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,TriCare or Other Federal Government,13,52,2020,"rgba(55, 96, 146, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other,14,51,2017,"rgba(228, 108, 10, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare FFS,6,51,2016,"rgba(230, 185, 184, 1.0)"
TAMPA GENERAL HOSPITAL,Veterans Affairs,20,51,2016,"rgba(89, 89, 89, 1.0)"
LEE MEMORIAL HOSPITAL,Non-Payment,13,50,2017,"rgba(33, 89, 104, 1.0)"
ST MARY'S MEDICAL CENTER,Workers' Compensation,3,50,2019,"rgba(16, 37, 63, 1.0)"
BAPTIST MEDICAL CENTER JACKSONVILLE,Medicare FFS,6,49,2018,"rgba(152, 72, 7, 1.0)"
MEMORIAL REGIONAL HOSPITAL,Medicare FFS,11,49,2017,"rgba(230, 185, 184, 1.0)"
ST MARY'S MEDICAL CENTER,Non-Payment,4,49,2018,"rgba(16, 37, 63, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Veterans Affairs,13,47,2018,"rgba(204, 193, 218, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other,14,47,2016,"rgba(228, 108, 10, 1.0)"
JACKSON MEMORIAL HOSPITAL,Kidcare,15,47,2017,"rgba(74, 69, 42, 1.0)"
ST MARY'S MEDICAL CENTER,Medicare FFS,2,46,2017,"rgba(16, 37, 63, 1.0)"
BAPTIST HOSPITAL OF MIAMI,TriCare or Other Federal Government,21,45,2020,"rgba(64, 49, 82, 1.0)"
BROWARD HEALTH MEDICAL CENTER,Other State/Local Government,2,44,2020,"rgba(228, 108, 10, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Liability,8,43,2020,"rgba(195, 214, 155, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare Managed Care,10,43,2018,"rgba(85, 142, 213, 1.0)"
NICKLAUS CHILDREN'S HOSPITAL,Other State/Local Government,12,41,2016,"rgba(147, 205, 221, 1.0)"
ADVENTHEALTH ORLANDO,Veterans Affairs,21,40,2020,"rgba(195, 214, 155, 1.0)"
LEE MEMORIAL HOSPITAL,Self Pay,20,40,2020,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicare FFS,9,40,2017,"rgba(99, 37, 35, 1.0)"
ADVENTHEALTH ORLANDO,Commercial Liability,24,38,2016,"rgba(195, 214, 155, 1.0)"
LEE MEMORIAL HOSPITAL,Self Pay,15,38,2017,"rgba(33, 89, 104, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicare FFS,8,38,2019,"rgba(99, 37, 35, 1.0)"
ST JOSEPHS HOSPITAL,Workers' Compensation,4,37,2017,"rgba(85, 142, 213, 1.0)"
SHRINERS HOSPITALS FOR CHILDREN-TAMPA,Self Pay,19,36,2019,"rgba(185, 205, 229, 1.0)"
ST JOSEPHS HOSPITAL,Medicare FFS,10,36,2020,"rgba(85, 142, 213, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Kidcare,12,36,2017,"rgba(55, 96, 146, 1.0)"
BAPTIST HOSPITAL OF MIAMI,TriCare or Other Federal Government,14,35,2016,"rgba(64, 49, 82, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Veterans Affairs,11,34,2020,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Medicare FFS,3,34,2016,"rgba(204, 193, 218, 1.0)"
LEE MEMORIAL HOSPITAL,Workers' Compensation,4,34,2020,"rgba(33, 89, 104, 1.0)"
WOLFSON CHILDREN'S HOSPITAL,Medicare FFS,5,34,2018,"rgba(152, 72, 7, 1.0)"
ST MARY'S MEDICAL CENTER,Workers' Compensation,7,33,2016,"rgba(16, 37, 63, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Self Pay,13,33,2016,"rgba(55, 96, 146, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Kidcare,12,32,2016,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Veterans Affairs,4,31,2017,"rgba(79, 98, 40, 1.0)"
TAMPA GENERAL HOSPITAL,Workers' Compensation,5,31,2018,"rgba(89, 89, 89, 1.0)"
UF HEALTH SHANDS PSYCHIATRIC HOSPITAL,Medicare FFS,3,31,2018,"rgba(55, 96, 146, 1.0)"
NEMOURS CHILDREN'S HOSPITAL,Medicare FFS,7,30,2020,"rgba(99, 37, 35, 1.0)"
UF HEALTH SHANDS HOSPITAL,Veterans Affairs,9,30,2017,"rgba(55, 96, 146, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Veterans Affairs,11,29,2018,"rgba(79, 98, 40, 1.0)"
ASCENSION SACRED HEART PENSACOLA,Workers' Compensation,5,29,2017,"rgba(204, 193, 218, 1.0)"
ST JOSEPHS HOSPITAL,Medicare FFS,8,29,2019,"rgba(85, 142, 213, 1.0)"
ST JOSEPHS HOSPITAL BEHAVIORAL HEALTH CENTER,Medicare Managed Care,7,29,2019,"rgba(85, 142, 213, 1.0)"
ADVENTHEALTH ORLANDO,Veterans Affairs,13,28,2016,"rgba(195, 214, 155, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare FFS,7,28,2019,"rgba(79, 98, 40, 1.0)"
JACKSON MEMORIAL HOSPITAL,Kidcare,9,28,2016,"rgba(74, 69, 42, 1.0)"
JACKSON MEMORIAL HOSPITAL,Non-Payment,8,28,2020,"rgba(74, 69, 42, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare FFS,10,27,2017,"rgba(79, 98, 40, 1.0)"
LEE MEMORIAL HOSPITAL,TriCare or Other Federal Government,8,27,2018,"rgba(33, 89, 104, 1.0)"
ARNOLD PALMER MEDICAL CENTER,Medicare FFS,6,26,2020,"rgba(79, 98, 40, 1.0)"
